location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop
Connecticut,2020-04-05,53900,0,janssen,0.657,0.1,0.046,0.169
Maine,2020-04-05,20600,0,janssen,0.932,0.014,0.011,0.017
Massachusetts,2020-04-05,103800,0,janssen,0.705,0.07,0.067,0.124
New Hampshire,2020-04-05,20600,0,janssen,0.898,0.013,0.026,0.039
Rhode Island,2020-04-05,16200,0,janssen,0.705,0.059,0.033,0.166
Vermont,2020-04-05,9700,0,janssen,0.928,0.011,0.016,0.018
New Jersey,2020-04-05,131600,0,janssen,0.545,0.124,0.096,0.21
New York,2020-04-05,167600,0,janssen,0.552,0.14,0.086,0.193
Puerto Rico,2020-04-05,51400,0,janssen,0.013,0.001,0,0.982
Delaware,2020-04-05,14300,0,janssen,0.614,0.218,0.039,0.097
District of Columbia,2020-04-05,10800,0,janssen,0.367,0.45,0.037,0.112
Maryland,2020-04-05,88800,0,janssen,0.499,0.296,0.064,0.106
Pennsylvania,2020-04-05,169200,0,janssen,0.76,0.104,0.035,0.078
Virginia,2020-04-05,124700,0,janssen,0.613,0.189,0.067,0.096
West Virginia,2020-04-05,27800,0,janssen,0.925,0.032,0.008,0.014
Alabama,2020-04-05,71800,0,janssen,0.654,0.265,0.014,0.044
Florida,2020-04-05,313200,0,janssen,0.53,0.15,0.027,0.266
Georgia,2020-04-05,148500,0,janssen,0.52,0.313,0.041,0.098
Kentucky,2020-04-05,65300,0,janssen,0.845,0.08,0.016,0.037
Mississippi,2020-04-05,43200,0,janssen,0.566,0.376,0.01,0.03
North Carolina,2020-04-05,149800,0,janssen,0.627,0.209,0.029,0.097
South Carolina,2020-04-05,73500,0,janssen,0.637,0.262,0.017,0.057
Tennessee,2020-04-05,98100,0,janssen,0.736,0.164,0.018,0.057
Illinois,2020-04-05,148600,0,janssen,0.609,0.136,0.056,0.176
Indiana,2020-04-05,96500,0,janssen,0.786,0.092,0.024,0.072
Michigan,2020-04-05,147800,0,janssen,0.749,0.134,0.032,0.053
Minnesota,2020-04-05,80800,0,janssen,0.791,0.064,0.049,0.056
Ohio,2020-04-05,171900,0,janssen,0.786,0.122,0.023,0.04
Wisconsin,2020-04-05,85900,0,janssen,0.811,0.062,0.03,0.071
Arkansas,2020-04-05,43500,0,janssen,0.721,0.152,0.016,0.078
Louisiana,2020-04-05,67700,0,janssen,0.588,0.319,0.017,0.052
New Mexico,2020-04-05,30800,0,janssen,0.367,0.017,0.016,0.495
Oklahoma,2020-04-05,56400,0,janssen,0.65,0.069,0.021,0.111
Texas,2020-04-05,392100,0,janssen,0.411,0.117,0.05,0.4
Iowa,2020-04-05,45800,0,janssen,0.853,0.039,0.023,0.063
Kansas,2020-04-05,41800,0,janssen,0.757,0.055,0.028,0.122
Missouri,2020-04-05,89600,0,janssen,0.794,0.112,0.021,0.043
Nebraska,2020-04-05,27600,0,janssen,0.785,0.048,0.024,0.113
Colorado,2020-04-05,81400,0,janssen,0.678,0.038,0.032,0.218
Montana,2020-04-05,15600,0,janssen,0.861,0.006,0.008,0.037
North Dakota,2020-04-05,11300,0,janssen,0.841,0.024,0.014,0.04
South Dakota,2020-04-05,12500,0,janssen,0.819,0.022,0.013,0.037
Utah,2020-04-05,40700,0,janssen,0.778,0.01,0.023,0.144
Wyoming,2020-04-05,8500,0,janssen,0.838,0.01,0.006,0.101
Arizona,2020-04-05,101700,0,janssen,0.542,0.043,0.033,0.318
California,2020-04-05,572700,0,janssen,0.364,0.053,0.147,0.395
Hawaii,2020-04-05,21300,0,janssen,0.204,0.012,0.394,0.103
Nevada,2020-04-05,42900,0,janssen,0.478,0.092,0.085,0.293
Alaska,2020-04-05,15800,0,janssen,0.6,0.022,0.06,0.07
Idaho,2020-04-05,23800,0,janssen,0.816,0.007,0.012,0.129
Oregon,2020-04-05,61400,0,janssen,0.75,0.018,0.047,0.134
Washington,2020-04-05,109000,0,janssen,0.675,0.038,0.089,0.13
Connecticut,2020-03-29,21200,0,janssen,0.657,0.1,0.046,0.169
Maine,2020-03-29,8100,0,janssen,0.932,0.014,0.011,0.017
Massachusetts,2020-03-29,40800,0,janssen,0.705,0.07,0.067,0.124
New Hampshire,2020-03-29,8100,0,janssen,0.898,0.013,0.026,0.039
Rhode Island,2020-03-29,6400,0,janssen,0.705,0.059,0.033,0.166
Vermont,2020-03-29,3900,0,janssen,0.928,0.011,0.016,0.018
New Jersey,2020-03-29,51700,0,janssen,0.545,0.124,0.096,0.21
New York,2020-03-29,65800,0,janssen,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-29,20300,0,janssen,0.013,0.001,0,0.982
Delaware,2020-03-29,5600,0,janssen,0.614,0.218,0.039,0.097
District of Columbia,2020-03-29,4300,0,janssen,0.367,0.45,0.037,0.112
Maryland,2020-03-29,34900,0,janssen,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-29,66400,0,janssen,0.76,0.104,0.035,0.078
Virginia,2020-03-29,49000,0,janssen,0.613,0.189,0.067,0.096
West Virginia,2020-03-29,11000,0,janssen,0.925,0.032,0.008,0.014
Alabama,2020-03-29,28300,0,janssen,0.654,0.265,0.014,0.044
Florida,2020-03-29,122900,0,janssen,0.53,0.15,0.027,0.266
Georgia,2020-03-29,58400,0,janssen,0.52,0.313,0.041,0.098
Kentucky,2020-03-29,25700,0,janssen,0.845,0.08,0.016,0.037
Mississippi,2020-03-29,17100,0,janssen,0.566,0.376,0.01,0.03
North Carolina,2020-03-29,58800,0,janssen,0.627,0.209,0.029,0.097
South Carolina,2020-03-29,28900,0,janssen,0.637,0.262,0.017,0.057
Tennessee,2020-03-29,38600,0,janssen,0.736,0.164,0.018,0.057
Illinois,2020-03-29,58400,0,janssen,0.609,0.136,0.056,0.176
Indiana,2020-03-29,38000,0,janssen,0.786,0.092,0.024,0.072
Michigan,2020-03-29,58100,0,janssen,0.749,0.134,0.032,0.053
Minnesota,2020-03-29,31800,0,janssen,0.791,0.064,0.049,0.056
Ohio,2020-03-29,67400,0,janssen,0.786,0.122,0.023,0.04
Wisconsin,2020-03-29,33800,0,janssen,0.811,0.062,0.03,0.071
