location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop,population,white,black,asian,hispanic
Connecticut,2020-04-05,10.89488575689709,0,janssen,0.657,0.1,0.046,0.169,3565287,14.666683853001496,12.784170020504977,12.00764123100598,13.30889854943996
Maine,2020-04-05,9.933046354777673,0,janssen,0.932,0.014,0.011,0.017,1344212,14.04089606142458,9.842620576354246,9.601458519537358,10.036776590795204
Massachusetts,2020-04-05,11.550221249713925,0,janssen,0.705,0.07,0.067,0.124,6892503,15.39638738096584,13.08668482020293,13.042882197544536,13.658471143758607
New Hampshire,2020-04-05,9.933046354777673,0,janssen,0.898,0.013,0.026,0.039,1359711,14.015197524450974,9.779976813610311,10.473123994170255,10.87858910227842
Rhode Island,2020-04-05,9.692766521220475,0,janssen,0.705,0.059,0.033,0.166,1059361,13.523618977954527,11.042958619047978,10.461928736608739,12.077408963498803
Vermont,2020-04-05,9.179881164491475,0,janssen,0.928,0.011,0.016,0.018,623989,13.269164472795122,8.834028012807291,9.208721462248702,9.326504497905086
New Jersey,2020-04-05,11.787522297873354,0,janssen,0.545,0.124,0.096,0.21,8882190,15.392589221864968,13.912084992806761,13.656151618669561,14.438910957919193
New York,2020-04-05,12.02933546703012,0,janssen,0.552,0.14,0.086,0.193,19453561,16.18933346339861,14.817427839730819,14.330132713375022,15.1384756060264
Delaware,2020-04-05,9.568014816247999,0,janssen,0.614,0.218,0.039,0.097,973764,13.301163902635679,12.265664037277626,10.544730620618182,11.45587995299192
District of Columbia,2020-04-05,9.287301413112312,0,janssen,0.367,0.45,0.037,0.112,705749,12.464621498254823,12.668507232964618,10.170177562844477,11.277758521495349
Maryland,2020-04-05,11.394141928980261,0,janssen,0.499,0.296,0.064,0.106,6045680,14.919705342134801,14.397458700707343,12.865982329742954,13.370538340495349
Pennsylvania,2020-04-05,12.03883672615426,0,janssen,0.76,0.104,0.035,0.078,12801989,16.090674261741214,14.101746727602208,13.01270388995025,13.814064655150428
