jurisdiction,week,first_dose,second_dose,vaccine
Connecticut,04/05/2021,53900,0,janssen
Maine,04/05/2021,20600,0,janssen
Massachusetts,04/05/2021,103800,0,janssen
New Hampshire,04/05/2021,20600,0,janssen
Rhode Island,04/05/2021,16200,0,janssen
Vermont,04/05/2021,9700,0,janssen
New Jersey,04/05/2021,131600,0,janssen
New York,04/05/2021,167600,0,janssen
New York City,04/05/2021,127200,0,janssen
Puerto Rico,04/05/2021,51400,0,janssen
U.S. Virgin Islands,04/05/2021,1600,0,janssen
Delaware,04/05/2021,14300,0,janssen
District of Columbia,04/05/2021,10800,0,janssen
Maryland,04/05/2021,88800,0,janssen
Pennsylvania,04/05/2021,169200,0,janssen
Philadelphia,04/05/2021,23500,0,janssen
Virginia,04/05/2021,124700,0,janssen
West Virginia,04/05/2021,27800,0,janssen
Alabama,04/05/2021,71800,0,janssen
Florida,04/05/2021,313200,0,janssen
Georgia,04/05/2021,148500,0,janssen
Kentucky,04/05/2021,65300,0,janssen
Mississippi,04/05/2021,43200,0,janssen
North Carolina,04/05/2021,149800,0,janssen
South Carolina,04/05/2021,73500,0,janssen
Tennessee,04/05/2021,98100,0,janssen
Chicago,04/05/2021,39900,0,janssen
Illinois,04/05/2021,148600,0,janssen
Indiana,04/05/2021,96500,0,janssen
Michigan,04/05/2021,147800,0,janssen
Minnesota,04/05/2021,80800,0,janssen
Ohio,04/05/2021,171900,0,janssen
Wisconsin,04/05/2021,85900,0,janssen
Arkansas,04/05/2021,43500,0,janssen
Louisiana,04/05/2021,67700,0,janssen
New Mexico,04/05/2021,30800,0,janssen
Oklahoma,04/05/2021,56400,0,janssen
Texas,04/05/2021,392100,0,janssen
Iowa,04/05/2021,45800,0,janssen
Kansas,04/05/2021,41800,0,janssen
Missouri,04/05/2021,89600,0,janssen
Nebraska,04/05/2021,27600,0,janssen
Colorado,04/05/2021,81400,0,janssen
Montana,04/05/2021,15600,0,janssen
North Dakota,04/05/2021,11300,0,janssen
South Dakota,04/05/2021,12500,0,janssen
Utah,04/05/2021,40700,0,janssen
Wyoming,04/05/2021,8500,0,janssen
Arizona,04/05/2021,101700,0,janssen
California,04/05/2021,572700,0,janssen
